[2023-12-21 16:07:47,594] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-12-21 16:07:48,034] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-12-21 16:13:30,672] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-12-21 16:13:30,673] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-12-21 16:13:30,674] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-12-21 16:13:30,674] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-12-21 16:15:21,892] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-12-21 16:15:21,952] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-12-21 16:22:35,656] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-12-21 16:22:35,656] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-12-21 16:22:35,657] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-12-21 16:22:35,657] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-12-21 16:24:40,120] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-12-21 16:24:40,209] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
